119927_Eukaryota_25	UP000292402
119927_Eukaryota_25	UP000293195
119927_Eukaryota_25	UP000291867
119981_Bacteria_37	UP000263928
119981_Bacteria_37	UP000279336
1201031_Bacteria_28	UP000530038
120107_Bacteria_26	UP000218272
120107_Bacteria_27	UP000218272
120213_Bacteria_24	UP000256709
120213_Bacteria_24	UP000256486
120213_Bacteria_24	UP000256541
120213_Bacteria_24	UP000257080
1202724_Bacteria_27	UP000037755
1202768_Archaea_37	UP000183275
1202772_Eukaryota_24	UP000243579
120370_Bacteria_37	UP000287101
120377_Bacteria_30	UP000275356
1204385_Bacteria_53	UP000317371
1206085_Bacteria_28	UP000186132
1207057_Bacteria_28	UP000589716
1208308_Bacteria_30	UP000298776
1208324_Bacteria_25	UP000031521
120956_Bacteria_37	UP000199708
120959_Bacteria_37	UP000515288
120959_Bacteria_37	UP000465306
120959_Bacteria_37	UP000193838
1209954_Bacteria_30	UP000251558
1211806_Bacteria_28	UP000232587
1211807_Bacteria_29	UP000242255
1211807_Bacteria_29	UP000560873
1211807_Bacteria_29	UP000236059
121277_Archaea_95	UP000554766
121290_Bacteria_30	UP000059074
121292_Bacteria_27	UP000065151
121292_Bacteria_28	UP000065151
1213189_Eukaryota_22	UP000188320
1213358_Bacteria_28	UP000321949
1213358_Bacteria_28	UP000198702
1213861_Bacteria_28	UP000295680
1214077_Bacteria_28	UP000317593
121428_Bacteria_29	UP000217141
121428_Bacteria_29	UP000290975
1214573_Eukaryota_24	UP000034680
1214928_Bacteria_65	UP000297668
1214928_Bacteria_65	UP000553127
1214928_Bacteria_65	UP000590337
1214928_Bacteria_65	UP000547553
1214928_Bacteria_65	UP000297244
1215089_Bacteria_20	UP000092687
1215925_Bacteria_28	UP000316331
121616_Bacteria_27	UP000198797
121616_Bacteria_28	UP000198797
1216932_Bacteria_35	UP000019426
121719_Bacteria_28	UP000064921
121719_Bacteria_28	UP000255000
121734_Bacteria_30	UP000463470
